Nucleus,A,Z,Spin,mu_exp (muN)
K-42,42,19,2-,-1.1425
Na-20,20,11,2+,0.3694
K-46,46,19,2-,-1.051
Cl-36,36,17,2+,1.28547
Na-21,21,11,3/2+,2.3863
K-38,38,19,7+,3.836
P-31,31,15,,1.1316
Na-30,30,11,,2.083
P-29,29,15,1/2+,1.2346
Na-25,25,11,5/2+,3.683
Mn-61,61,25,5/2-,3.535
Y-98,98,39,4 or 5,2.98
Cu-59,59,29,3/2-,1.891
V-49,49,23,7/2-,4.47
Ga-63,63,31,3/2-,0.1469
Sc-44,44,21,2+,2.499
Nb-91,91,41,9/2+,6.521
Co-57,57,27,7/2-,4.78
Rb-78,78,37,,2.56
Ag-106,106,47,1+,2.8
Re-181,181,75,5/2+,3.19
Re-185,185,75,5/2+,3.1871
Eu-155,155,63,5/2+,1.52
Pr-136,136,59,6+,3.42
La-137,137,57,7/2+,2.7
Lu-176,176,71,7-,3.162
Ho-154,154,67,2-,-0.643
I-123,123,53,5/2+,2.818
Tl-187,187,81,(1/2+),1.55
Pm-149,149,61,7/2+,3.3
