z,a,symbol,ordering,"energy [keV]",halflife,spin,"magnetic dipole [nm]","electric quadrupole [b]",reference_standard,method,description,citation_01,doi_01,citation_02,doi_02,citation_03,doi_03,citation_04,doi_04,citation_05,doi_05
1,2,H,20,,,,"+0.857438240(12) ",,[1H],NMR,"Nuclear Magnetic Resonance",2005KA25,10.1139/P05-007,,,,,,,,
1,2,H,50,,,,,0.0028(2),,CIAN,"Coulomb Interaction of Aligned Nuclei",1985KA05,10.1016/0375-9474(85)90475-0,,,,,,,,
3,6,Li,10,0,stable,1+,+0.8220473(6),,,AB/D,"Atomic Beam Magnetic Resonance (direct moment measurement)",1974BE50,10.1007/BF01680407,,,,,,,,
3,6,Li,20,,,,+0.822567(3),,[2H],NMR,"Nuclear Magnetic Resonance",1968LU07,,1967LU06,"10.1016/0375-9601(67)90068-0 ",,,,,,
3,6,Li,40,,,,,-0.000806(6),,R,"Re-evaluated by N.J. Stone (2013StZZ) usually because of change in reference standard",2005BO45,10.1103/PhysRevC.72.044309,,,,,,,,
3,7,Li,10,0,stable,3/2-,+3.256427(2),,,AB/D,"Atomic Beam Magnetic Resonance (direct moment measurement)",1974BE50,10.1007/BF01680407,,,,,,,,
3,7,Li,20,,,,+3.2564625(4),,[2H],NMR,"Nuclear Magnetic Resonance",1967LU06,10.1016/0375-9601(67)90068-0,,,,,,,,
3,7,Li,70,,,,,-0.0370(8),,CIAN,"Coulomb Interaction of Aligned Nuclei",1985WE08,10.1103/PhysRevLett.55.480,,,,,,,,
3,7,Li,100,,,,,-0.040(11),,CER,"Coulomb excitation reorientation",1984VE03,10.1016/0370-2693(84)91918-X,1984VE08,"10.1071/PH840273 ",,,,,,
3,7,Li,110,,,,,-0.0400(6),,CER,"Coulomb excitation reorientation",1991VO06,10.1016/0375-9474(91)90814-M,,,,,,,,
3,7,Li,120,,,,,-0.0400(3),,CER,"Coulomb excitation reorientation",1991VO06,10.1016/0375-9474(91)90814-M,,,,,,,,
3,7,Li,30,,,,,-0.0403(4),,R,"Re-evaluated by N.J. Stone (2013StZZ) usually because of change in reference standard",2011AV08,"10.3938/jkps.59.903 ",,,,,,,,
3,7,Li,40,,,,,-0.0400(3),,R,"Re-evaluated by N.J. Stone (2013StZZ) usually because of change in reference standard",2008PY02,"10.1080/00268970802018367 ",,,,,,,,
3,7,Li,90,,,,,-0.059(8),,OL,"Optical Level Crossing",1978NA22,10.1103/PhysRevA.17.1394,,,,,,,,
3,7,Li,130,,,,,-0.0406(8),,R,"Re-evaluated by N.J. Stone (2013StZZ) usually because of change in reference standard",1989BA80,10.1071/PH890597,,,,,,,,
3,8,Li,10,0,"839.9 ms",2+,+1.65356(2),,[1H],b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1978WI13,10.1016/0375-9601(78)90353-5,1962CO08,10.1103/PhysRev.126.1506,,,,,,
3,8,Li,20,,,,,0.0326(5),[7Li],b-NQR,"Nuclear Quadrupole Resonance with beta detection",2011VO08,10.1088/0954-3899/38/7/75102,,,,,,,,
3,8,Li,30,,,,,0.0314(2),,b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",2005BO45,"10.1103/PhysRevC.72.044309 ",,,,,,,,
3,8,Li,40,,,,,"sign positive","[6,7Li]",NMR,"Nuclear Magnetic Resonance",1994JA05,10.1016/0375-9474(94)90393-X,,,,,,,,
3,8,Li,50,,,,,0.0327(6),[7Li],b-NQR,"Nuclear Quadrupole Resonance with beta detection",1992MI18,10.1103/PhysRevLett.69.2058,,,,,,,,
3,8,Li,60,,,,,0.0287(7),[7Li],CFBLS/b-NMR,"b-NMR Collinear Fast Beam Laser Spectroscopy: NMR with beta detection",1988AR17,10.1007/BF01355599,,,,,,,,
3,8,Li,70,,,,,0.0317(4),[7Li],b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1977DU06,10.1007/BF01414890,,,,,,,,
3,9,Li,10,0,"178.3 ms",3/2-,3.43678(6),,[8Li],b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",2005BO45,"10.1103/PhysRevC.72.044309 ",,,,,,,,
3,9,Li,20,,,,3.434(5),,[8Li],CFBLS/b-NMR,"b-NMR Collinear Fast Beam Laser Spectroscopy: NMR with beta detection",1988AR17,10.1007/BF01355599,,,,,,,,
3,9,Li,30,,,,3.4391(6),,[1H],b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1983CO11,10.1103/PhysRevC.28.862,,,,,,,,
3,9,Li,40,,,,,-0.0304(2),[7Li],b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",2011AV08,"10.3938/jkps.59.903 ",2008PY02,"10.1080/00268970802018367 ",,,,,,
3,9,Li,50,,,,,(-)0.0306(2),,b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",2005BO45,"10.1103/PhysRevC.72.044309 ",,,,,,,,
3,9,Li,60,,,,,0.0253(9),[7Li],CFBLS/b-NMR,"b-NMR Collinear Fast Beam Laser Spectroscopy: NMR with beta detection",1988AR17,10.1007/BF01355599,,,,,,,,
3,9,Li,70,,,,,"0.036(7) st",[7Li],b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1983CO11,10.1103/PhysRevC.28.862,,,,,,,,
3,11,Li,10,0,"8.75 ms",3/2-,+3.6712(3),,[9Li],b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",2008NE11,"10.1103/PhysRevLett.101.132502 ",,,,,,,,
3,11,Li,20,,,,3.668(3),,[8Li],CFBLS/b-NMR,"b-NMR Collinear Fast Beam Laser Spectroscopy: NMR with beta detection",1987AR22,10.1016/0370-2693(87)90390-X,,,,,,,,
3,11,Li,30,,,,,(-)0.0333(5),[9Li],b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",2008NE11,"10.1103/PhysRevLett.101.132502 ",,,,,,,,
3,11,Li,40,,,,,-0.035(5),,R,"Re-evaluated by N.J. Stone (2013StZZ) usually because of change in reference standard",2005BO45,"10.1103/PhysRevC.72.044309 ",,,,,,,,
3,11,Li,50,,,,,-0.031(5),[7Li],OP/b-NMR,"Optical Pumping with NMR using beta detection",1992MA12,10.1016/0370-2693(92)90765-V,,,,,,,,
4,7,Be,20,,,,-1.398(15),,[9Be],LRIS,"Laser Resonance Ionization",1998KAZN,10.1063/1.57392,,,,,,,,
4,9,Be,10,0,stable,3/2-,"-1.177432(3) d",,,R,"Re-evaluated by N.J. Stone (2013StZZ) usually because of change in reference standard",1983IT03,10.1103/PhysRevB.27.1906,,,,,,,,
4,9,Be,30,,,,-1.17749(2),,[1H],NMR,"Nuclear Magnetic Resonance",1949DI25,10.1103/PhysRev.75.1769,1951AL11,"10.1103/PhysRev.82.105 ",,,,,,
4,9,Be,40,,,,,+0.0529(4),,R,"Re-evaluated by N.J. Stone (2013StZZ) usually because of change in reference standard",1991SU05,10.1016/0009-2614(91)90181-8,,,,,,,,
4,9,Be,50,,,,,"+0.053(3) st",,AB,"Atomic Beam Magnetic Resonance - Thermal Beam",1967BL09,10.1103/PhysRev.153.164,,,,,,,,
