Nucleus,A,Z,Spin,Parity,mu_exp (muN),Orbital,j
Na-23,23,11,3/2,+ ,2.2175,d,1.5
Al-27,27,13,5/2,+ ,3.6415,d,2.5
P-31,31,15,1/2,+ ,1.1316,d,1.5
Cl-35,35,17,3/2,+ ,0.8219,d,1.5
K-39,39,19,3/2,+ ,0.3915,d,1.5
Sc-45,45,21,7/2,+ ,4.756,f,3.5
V-51,51,23,7/2,- ,6.162,f,3.5
Mn-55,55,25,5/2,- ,3.4687,f,2.5
Co-59,59,27,7/2,+ ,5.517,f,3.5
Cu-65,65,29,3/2,+ ,2.381,p,1.5
Ga-69,69,31,3/2,+ ,2.562,p,1.5
Br-79,79,35,3/2,+ ,1.775,p,1.5
Sb-121,121,51,5/2,+ ,3.363,d,2.5
I-127,127,53,5/2,+ ,2.813,d,2.5
Cs-133,133,55,7/2,+ ,2.582,g,3.5
La-139,139,57,7/2,+ ,2.78,g,3.5
Pr-141,141,59,5/2,+ ,4.275,d,2.5
Ho-165,165,67,7/2,+ ,4.213,g,3.5
Tl-205,205,81,1/2,+ ,1.638,s,0.5
Bi-209,209,83,9/2,- ,4.1106,h,4.5
As-75,75,33,3/2,- ,1.439,p,1.5
Sb-123,123,51,7/2,+ ,3.409,g,3.5
I-129,129,53,7/2,+ ,2.81,g,3.5
Pr-143,143,59,7/2,+ ,3.19,g,3.5
Tb-159,159,65,3/2,- ,1.197,p,1.5
Tl-203,203,81,1/2,+ ,1.61,s,0.5
Rb-87,87,37,3/2,- ,1.3534,p,1.5
V-49,49,23,7/2,- ,5.148,f,3.5
In-113,113,49,9/2,+ ,5.525,g,4.5
Y-89,89,39,1/2,- ,-0.137,p,0.5
